Monads.Datatype_Schematic                              1.997     9.651     0.377
Eisbach_Tools.Rule_By_Method                           1.995     7.466     0.000
ExecSpec.MachineOps                                    1.990     3.091     0.466
ASpec.ArchFault_A                                      1.897     1.941     0.000
Monads.WPFix                                           1.793     7.067     0.000
ASpec.ArchInterrupt_A                                  1.769     1.812     0.000
ExecSpec.Event_H                                       1.669     4.379     0.000
ASpec.ArchRetype_A                                     1.606     3.234     0.000
Eisbach_Tools.Trace_Schematic_Insts                    1.546     5.419     0.377
ASpec.Init_A                                           1.467     2.989     0.000
Eisbach_Tools.Apply_Debug                              1.449     6.980     0.377
Monads.WPC                                             1.380     4.728     0.000
ExecSpec.Platform                                      1.328     9.397     0.587
ASpec.ArchIpcCancel_A                                  1.243     4.292     0.000
ASpec.ArchVSpaceAcc_A                                  1.225     5.263     0.000
Lib.List_Lib                                           1.126     4.529     0.000
Monads.Fun_Pred_Syntax                                 1.118     4.297     0.000
Lib.Match_Abbreviation                                 1.111     4.609     0.000
ASpec.MiscMachine_A                                    1.032     1.208     0.000
Eisbach_Tools.Apply_Trace                              1.022     3.628     0.000
HOL-Library.Adhoc_Overloading                          0.885     3.072     0.000
ASpec.Hypervisor_A                                     0.874     3.483     0.000
ASpec.ArchTcb_A                                        0.819     3.659     0.000
Lib.Insulin                                            0.807     2.533     0.000
Monads.Nondet_Empty_Fail                               0.761     5.386     0.000
ExecSpec.Kernel_Config                                 0.729     4.004     0.000
Lib.Requalify                                          0.716     3.025     0.000
Eisbach_Tools.Subgoal_Methods                          0.706     2.309     0.000
Lib.Value_Type                                         0.661     2.514     0.000
ExecSpec.MachineExports                                0.656     1.337     0.000
ExecSpec.MachineMonad                                  0.655     0.769     0.000
Monads.Nondet_No_Fail                                  0.650     3.997     0.587
ML_Utils.ML_Utils                                      0.643     2.489     0.000
Monads.Reader_Option_VCG                               0.643     4.445     0.000
Lib.Qualify                                            0.593     2.434     0.000
ASpec.KHeap_A                                          0.577     1.922     0.000
Eisbach_Tools.Local_Method                             0.553     1.591     0.000
Eisbach_Tools.Simp_No_Conditional                      0.544     1.567     0.000
HOL-Library.Monad_Syntax                               0.526     2.135     0.000
Eisbach_Tools.Apply_Trace_Cmd                          0.480     3.834     0.000
Monads.Monad_Lib                                       0.462     1.848     0.000
Lib.Time_Methods_Cmd                                   0.462     1.933     0.000
Monads.Less_Monad_Syntax                               0.417     1.772     0.000
ASpec.Intro_Doc                                        0.416     1.131     0.000
ExecSpec.Setup_Locale                                  0.387     1.552     0.000
Monads.WP_Pre                                          0.385     3.162     0.000
Monads.Nondet_Reader_Option                            0.385     3.052     0.000
Lib.ShowTypes                                          0.379     1.616     0.000
ASpec.CSpaceAcc_A                                      0.363     1.823     0.000
Lib.ML_Goal                                            0.324     1.336     0.000
ASpec.InvocationLabels_A                               0.307     0.616     0.000
Lib.Extract_Conjunct                                   0.301     2.397     0.000
Lib.Try_Attribute                                      0.281     1.215     0.000
Lib.Defs                                               0.278     1.024     0.000
ASpec.VMRights_A                                       0.276     0.998     0.000
ExecSpec.Arch_Kernel_Config_Lemmas                     0.234     1.868     0.000
Lib.None_Top_Bot                                       0.225     1.800     0.000
Lib.Named_Eta                                          0.223     0.911     0.000
Lib.Repeat_Attribute                                   0.222     0.899     0.000
Lib.Locale_Abbrev                                      0.202     0.820     0.000
Monads.Nondet_In_Monad                                 0.200     1.610     0.000
Lib.Find_Names                                         0.199     0.601     0.000
ML_Utils.TermPatternAntiquote                          0.188     0.578     0.000
ExecSpec.Kernel_Config_Lemmas                          0.181     0.581     0.000
ASpec.Exceptions_A                                     0.181     0.467     0.000
ExecSpec.ArchLabelFuns_H                               0.164     0.893     0.000
Lib.Eval_Bool                                          0.146     1.154     0.000
Lib.Try_Methods                                        0.115     0.919     0.000
Basics.CLib                                            0.115     0.940     0.000
ASpec.Glossary_Doc                                     0.036     0.053     0.000
--------------------------------------------------------------------------------
TOTAL                                                273.180   714.832    21.074

--- DSpec  (83 theories) ---
theory                                                elapsed(s)     cpu(s)     gc(s)
--------------------------------------------------------------------------------
DSpec.Intents_D                                       28.006   106.434     3.453
DSpec.Invocations_D                                   21.874    38.606     1.279
DSpec.Types_D                                         15.288    34.132     1.501
ExecSpec.MachineTypes                                  9.254    32.415     0.720
Lib.NICTATools                                         6.587    21.122     0.000
Lib.Lib                                                5.977    28.644     1.767
Monads.WP                                              5.165    14.008     0.000
DSpec.CSpace_D                                         4.107     6.848     0.000
Monads.WPSimp                                          3.774    11.287     0.698
Monads.Nondet_Monad                                    3.453    15.668     0.402
Monads.Nondet_Lemmas                                   3.386     8.584     0.000
ASpec.CapRights_A                                      3.031    11.226     0.000
Lib.Value_Abbreviation                                 3.006    11.155     0.402
Eisbach_Tools.Eisbach_Methods                          2.960    11.797     0.402
Monads.Reader_Option_Monad                             2.809    13.430     0.000
Monads.Nondet_VCG                                      2.806    20.316     1.068
Monads.Strengthen                                      2.765    10.916     0.402
Monads.Nondet_In_Monad                                 2.603     6.103     0.000
DSpec.PageTableUnmap_D                                 2.145     2.836     0.000
Monads.Datatype_Schematic                              2.135    10.054     0.402
Eisbach_Tools.Rule_By_Method                           2.073     7.621     0.000
DSpec.Syscall_D                                        2.007     2.253     0.000
DSpec.Monads_D                                         1.926     7.248     0.460
ExecSpec.MachineOps                                    1.912     5.347     0.569
ExecSpec.Kernel_Config                                 1.876     6.525     0.000
ExecSpec.Event_H                                       1.694     5.162     0.000
Eisbach_Tools.Trace_Schematic_Insts                    1.672     5.951     0.402
Eisbach_Tools.Apply_Debug                              1.431     6.871     0.402
DSpec.Endpoint_D                                       1.431     1.565     0.000
Lib.None_Top_Bot                                       1.225     4.288     0.000
ExecSpec.Platform                                      1.199     8.779     0.397
HOL-Combinatorics.Transposition                        1.164     4.086     0.000
Lib.Match_Abbreviation                                 1.130     4.713     0.000
Monads.Fun_Pred_Syntax                                 1.081     4.066     0.000
Eisbach_Tools.Apply_Trace                              1.023     3.586     0.000
Eisbach_Tools.Subgoal_Methods                          1.003     3.113     0.000
Monads.WPFix                                           0.943     4.972     0.000
HOL-Library.Adhoc_Overloading                          0.943     3.156     0.000
Lib.Insulin                                            0.933     2.808     0.000
Monads.Nondet_Empty_Fail                               0.846     6.658     0.000
DSpec.Decode_D                                         0.814     0.825     0.000
Lib.Requalify                                          0.769     3.175     0.000
Monads.Reader_Option_VCG                               0.720     5.662     0.000
DSpec.Tcb_D                                            0.680     2.303     0.251
Eisbach_Tools.Apply_Trace_Cmd                          0.679     4.199     0.402
ExecSpec.MachineExports                                0.675     2.067     0.000
Lib.Value_Type                                         0.664     2.612     0.000
Basics.CLib                                            0.662     2.430     0.000
ML_Utils.ML_Utils                                      0.629     2.419     0.000
Eisbach_Tools.Simp_No_Conditional                      0.620     1.679     0.000
DSpec.Interrupt_D                                      0.613     0.633     0.000
Eisbach_Tools.Local_Method                             0.599     1.613     0.000
ExecSpec.MachineMonad                                  0.562     1.397     0.000
Lib.Qualify                                            0.536     2.289     0.000
Monads.Nondet_Reader_Option                            0.530     3.604     0.397
HOL-Library.Monad_Syntax                               0.486     2.056     0.000
Monads.Less_Monad_Syntax                               0.475     1.940     0.000
Lib.Time_Methods_Cmd                                   0.473     1.886     0.000
DSpec.PageTable_D                                      0.471     1.939     0.251
Monads.Monad_Lib                                       0.464     1.844     0.000
DSpec.KHeap_D                                          0.448     1.439     0.000
Monads.Nondet_No_Fail                                  0.430     3.404     0.000
DSpec.Untyped_D                                        0.418     1.779     0.251
Lib.ShowTypes                                          0.395     1.659     0.000
Monads.WP_Pre                                          0.386     3.101     0.000
ExecSpec.Setup_Locale                                  0.367     1.453     0.000
Lib.SplitRule                                          0.347     1.469     0.000
DSpec.CNode_D                                          0.344     1.548     0.251
ASpec.VMRights_A                                       0.332     1.090     0.000
Lib.Defs                                               0.319     1.150     0.000
Lib.ML_Goal                                            0.317     1.369     0.000
Lib.Try_Attribute                                      0.296     1.183     0.000
Lib.Extract_Conjunct                                   0.265     2.150     0.000
